sku,nombre,total_unidades_vendidas,total_transacciones,primera_venta,ultima_venta,excluido_intencional
MASS0358,PLANCHA DE CABELLO REMILNGTON RE-2081,167.0,24,2024-04-19 14:21:00,2026-06-10 08:58:00,False
MASS1210,HUMIDIFICADOR T2 280ML,158.0,42,2024-03-20 13:45:00,2026-06-10 10:06:00,False
MASS1087,LAMPARA SUPERFICIAL CUADRADA 24W,155.0,28,2024-03-26 09:29:00,2024-11-27 11:08:00,False
MASS1440,BASE FAN COOLER PARA LAPTOP N99,155.0,25,2024-02-09 15:52:00,2024-11-09 10:02:00,False
MASS1029,PROTECTOR DE METAL PARA PICAR,153.0,38,2024-10-22 19:13:00,2026-07-07 08:42:00,False
MASS1068,ORGANIZADOR DE CABLES,149.0,64,2024-09-28 06:39:00,2026-06-02 14:38:00,False
MASS0063,"""BASE TV FIJA 26*-63"""" B40""",146.0,70,2024-05-10 08:36:00,2026-08-17 09:49:00,False
MASS1455,PIZARRA LED BLANCO,140.0,8,2024-01-06 08:18:00,2024-02-26 12:33:00,False
MASS1342,MOUSE VERTICAL INALAMBRICO RECARGABLE ROJO CON NEGRO,140.0,14,2024-02-24 12:59:00,2024-08-19 14:46:00,False
MASS2597,ARNE STRAP ON CON CINTURON Y VIBRADOR ROSADO,135.0,63,2026-04-29 11:20:00,2026-08-31 07:02:00,False
MASS0365,PLUG ANAL SET 3 UNIDADES NEGRO METALPLUGSET,128.0,90,2024-06-03 13:53:00,2026-04-02 10:15:00,False
MASS1330,TONER HP 85A CRG-312,127.0,50,2024-01-03 14:32:00,2025-09-12 13:44:00,False
MASS1065,ORGANIZADOR DE OLLA 1 CARA 4 NIVELES (D061),124.0,43,2024-02-09 15:52:00,2025-09-16 14:31:00,False
MASS0559,TESTER DT-830B,124.0,77,2024-04-26 10:18:00,2026-07-07 13:17:00,False
MASS2690,LAMINA PISO DE VINIL HHYM3043,121.0,5,2026-07-11 08:56:00,2026-08-28 08:37:00,False
MASS1332,TONER HP 78A CE278A,120.0,45,2024-01-04 13:57:00,2025-11-19 15:34:00,False
MASS1516,LUBRICANTE 60ML CEREZA,119.0,11,2024-03-07 11:35:00,2025-08-08 08:43:00,False
MASS1066,ORGANIZADOR DE OLLA 2 CARA 4 NIVELES (D061-2),118.0,28,2024-02-09 15:52:00,2025-04-03 14:13:00,False
MASS1086,LAMPARA SUPERFICIAL REDONDA 24W,117.0,9,2024-03-23 12:30:00,2024-08-19 12:14:00,False
MASS1325,PISO DE VINIL AUTOADHESIVO ALTO TRAFICO 2MM GROSOR 5MTRS HHYM3038,115.0,6,2024-01-19 19:06:00,2024-02-28 07:39:00,False
MASS1329,TONER CANON CRG128,109.0,43,2024-01-04 13:57:00,2026-08-10 17:50:00,False
MASS0980,HUMIDIFICADOR COLOR FULL RGB SPRAY RECARGABLE NEGRO,108.0,36,2024-06-03 08:49:00,2026-08-28 10:17:00,False
MASS1400,PISO DE VINIL CUADRADO AUTOADHESIVO NEGRO HHYM7712 ALTO TRAFICO 2MM GROSOR 457MM*457MM,107.0,22,2024-01-31 15:53:00,2025-07-29 07:26:00,False
MASS0633,TRANSMISOR 2 EN 1 BT5.0,105.0,57,2024-08-23 13:22:00,2026-08-31 09:56:00,False
MASS1323,PISO DE VINIL AUTOADHESIVO ALTO TRAFICO 2MM GROSOR 5MTRS HHYM3054,105.0,22,2024-01-17 13:33:00,2024-09-05 14:59:00,False
MASS1399,PISO DE VINIL CUADRADO AUTOADHESIVO GRIS OSCURO HHYM6602 ALTO TRAFICO 2MM GROSOR 457MM*457MM,103.0,15,2024-01-31 15:53:00,2024-05-21 15:39:00,False
MASS0917,EXPRIMIDOR ACRILICO MANUAL DE LIMON,96.0,28,2024-06-15 17:19:00,2026-08-12 18:57:00,False
MASS1398,PISO DE VINIL CUADRADO AUTOADHESIVO GRIS CLARO HHYM6601 ALTO TRAFICO 2MM GROSOR 457MM*457MM,96.0,12,2024-01-09 08:31:00,2024-04-08 13:57:00,False
MASS1360,TARJETA DE SONIDO V8 CON EFECTOS USB,95.0,19,2024-02-09 15:52:00,2025-01-03 09:30:00,False
MASS2688,LAMINA PISO DE VINIL HHYM3018,95.0,2,2026-07-01 07:01:00,2026-07-27 14:32:00,False
MASS1501,Maquina De Afeitar LT-808 Transparente Color Verde,94.0,43,2024-01-24 14:18:00,2025-06-25 09:49:00,False
MASS0827,MINI SELLADORA PORTATIL DE BOLSA,93.0,31,2024-11-28 14:43:00,2025-07-01 20:34:00,False
MASS1498,JUEGO DE DESTORNILLADOR 32PCS,93.0,45,2024-02-09 15:45:00,2026-06-02 12:23:00,False
MASS1401,PISO DE VINIL CUADRADO AUTOADHESIVO AZUL HHYM9916 ALTO TRAFICO 2MM GROSOR 457MM*457MM,91.0,16,2024-01-31 15:53:00,2025-12-22 17:14:00,False
MASS1500,Maquina De Afeitar LT-808 Transparente Color Blanca,90.0,47,2024-01-24 14:18:00,2026-05-30 16:23:00,False
MASS1316,GUANTE CON LINTERNA RECARGABLE,89.0,25,2024-06-13 12:48:00,2026-06-05 13:27:00,False
MASS0988,RELOJ INTELIGENTE D20 ULTRA NEGRO,89.0,12,2024-05-18 12:13:00,2025-12-19 15:07:00,False
MASS1404,PISO VINIL AUTOADHESIVO HHYM3023 ALTO TRAFICO 2MM GROSOR 914.4MM*152.4MM,89.0,3,2024-01-04 12:07:00,2024-01-19 19:06:00,False
MASS0279,MAQUINA DE AFEITAR INALAMBRICA WAIKIL MODEL 6023,89.0,11,2024-03-27 08:30:00,2025-02-13 07:16:00,False
MASS0859,LAMPARA LED SUPERFICIAL CUADRADA 18W,88.0,19,2024-04-04 14:44:00,2024-11-29 08:15:00,False
MASS1403,PISO VINIL AUTOADHESIVO HHYM3015 ALTO TRAFICO 2MM GROSOR 914.4MM*152.4MM,88.0,3,2024-01-04 12:07:00,2024-01-19 19:06:00,False
MASS0249,CINTA LED 5050 5MTS,84.0,16,2024-03-26 09:29:00,2025-02-15 10:24:00,False
MASS2292,LUBRICANTE ANAL LOVE MONOGATARI DURAZNO 200ML ZTAO03,81.0,30,2025-11-21 14:12:00,2026-02-04 07:57:00,False
MASS1319,AUDIFONO GAMER PC PS4 PS3 ROJO CON NEGRO,79.0,7,2024-02-09 15:52:00,2024-04-26 10:18:00,False
MASS1292,DISPENSADOR DE JABON ESPONJA FREGADERO,78.0,19,2024-03-27 15:53:00,2024-12-04 08:34:00,False
MASS1056,CAJA DE CONDONES TEXTURIZADO SHULEMEI (10 PCS),78.0,25,2024-02-01 08:17:00,2025-12-04 12:54:00,False
MASS2686,LAMINA PISO DE VINIL HHYM3039,77.0,5,2026-07-28 09:48:00,2026-08-19 15:31:00,False
MASS1057,HUMIDIFICADOR GRANDE 3LTS,74.0,36,2024-04-26 10:18:00,2026-07-15 12:14:00,False
MASS0335,OXIMETRO,74.0,17,2024-12-16 13:56:00,2025-06-12 07:37:00,False
