unique_id,paso_horizonte,demanda_proyectada,p10_pesimista,p90_optimista,modelo
MASS0021,4,1.6911840438842773,0.0,35.01502227783203,TimesFM-3.0-PyTorch
MASS0021,5,1.941075325012207,0.0,36.40074157714844,TimesFM-3.0-PyTorch
MASS0021,6,2.1564698219299316,0.0,37.54304504394531,TimesFM-3.0-PyTorch
MASS0021,7,2.488797187805176,0.0,38.607547760009766,TimesFM-3.0-PyTorch
MASS0021,8,2.578573703765869,0.0,39.585941314697266,TimesFM-3.0-PyTorch
MASS0021,9,2.8521547317504883,0.037628173828125,41.33296203613281,TimesFM-3.0-PyTorch
MASS0021,10,3.0083799362182617,0.05950736999511719,42.336952209472656,TimesFM-3.0-PyTorch
MASS0021,11,3.1838464736938477,0.00751495361328125,43.42020797729492,TimesFM-3.0-PyTorch
MASS0021,12,3.34527587890625,0.0,44.56147766113281,TimesFM-3.0-PyTorch
MASS0021,13,3.3978424072265625,0.06389999389648438,45.271644592285156,TimesFM-3.0-PyTorch
MASS0021,14,3.592708110809326,0.0,46.501678466796875,TimesFM-3.0-PyTorch
MASS0021,15,3.706831932067871,0.0,47.14649963378906,TimesFM-3.0-PyTorch
MASS0022,1,0.0,0.0,0.0005404762923717499,TimesFM-3.0-PyTorch
MASS0022,2,0.0,0.0,0.00013808906078338623,TimesFM-3.0-PyTorch
MASS0022,3,0.0,0.0,0.0004234611988067627,TimesFM-3.0-PyTorch
MASS0022,4,3.9983540773391724e-05,0.0,0.0005396753549575806,TimesFM-3.0-PyTorch
MASS0022,5,0.0003284960985183716,0.0,0.0007131919264793396,TimesFM-3.0-PyTorch
MASS0022,6,0.00036689266562461853,0.0,0.0007115602493286133,TimesFM-3.0-PyTorch
MASS0022,7,0.00042397528886795044,0.0,0.0012970641255378723,TimesFM-3.0-PyTorch
MASS0022,8,0.0,0.0,0.0006635859608650208,TimesFM-3.0-PyTorch
MASS0022,9,0.0002826191484928131,0.0,0.0007234290242195129,TimesFM-3.0-PyTorch
MASS0022,10,0.000234309583902359,0.0,0.0008068010210990906,TimesFM-3.0-PyTorch
MASS0022,11,2.798810601234436e-05,0.0,0.0006318837404251099,TimesFM-3.0-PyTorch
MASS0022,12,8.729100227355957e-05,0.0,0.0007217302918434143,TimesFM-3.0-PyTorch
MASS0022,13,0.00016438215970993042,0.0,0.0012168660759925842,TimesFM-3.0-PyTorch
MASS0022,14,3.634020686149597e-05,0.0,0.0005970299243927002,TimesFM-3.0-PyTorch
MASS0022,15,0.00029143691062927246,0.0,0.0008731670677661896,TimesFM-3.0-PyTorch
MASS0023,1,1.5757263898849487,0.052580833435058594,12.51840877532959,TimesFM-3.0-PyTorch
MASS0023,2,1.3595044612884521,0.0,11.41353702545166,TimesFM-3.0-PyTorch
MASS0023,3,1.2328517436981201,0.0,11.474576950073242,TimesFM-3.0-PyTorch
MASS0023,4,1.1808421611785889,0.0,11.594494819641113,TimesFM-3.0-PyTorch
MASS0023,5,1.0779078006744385,0.0,11.690435409545898,TimesFM-3.0-PyTorch
MASS0023,6,1.1103498935699463,0.0,11.86909008026123,TimesFM-3.0-PyTorch
MASS0023,7,1.174433708190918,0.0,12.086069107055664,TimesFM-3.0-PyTorch
MASS0023,8,1.1802326440811157,0.0,12.192317008972168,TimesFM-3.0-PyTorch
MASS0023,9,1.107433795928955,0.0,12.223237037658691,TimesFM-3.0-PyTorch
MASS0023,10,1.09456205368042,0.0,12.201919555664062,TimesFM-3.0-PyTorch
MASS0023,11,1.0786477327346802,0.0,12.121015548706055,TimesFM-3.0-PyTorch
MASS0023,12,0.9766790866851807,0.0,12.050256729125977,TimesFM-3.0-PyTorch
MASS0023,13,0.9728156328201294,0.0,12.125164031982422,TimesFM-3.0-PyTorch
MASS0023,14,1.0104905366897583,0.0,12.206377983093262,TimesFM-3.0-PyTorch
MASS0023,15,1.0144200325012207,0.0,12.424311637878418,TimesFM-3.0-PyTorch
MASS0025,1,0.06566667556762695,0.0,0.8615074157714844,TimesFM-3.0-PyTorch
MASS0025,2,0.045125484466552734,0.0,1.260758876800537,TimesFM-3.0-PyTorch
MASS0025,3,0.10201740264892578,0.0,1.5801324844360352,TimesFM-3.0-PyTorch
MASS0025,4,0.11365222930908203,0.0,1.743758201599121,TimesFM-3.0-PyTorch
MASS0025,5,0.11175966262817383,0.0,2.1572606563568115,TimesFM-3.0-PyTorch
MASS0025,6,0.13696861267089844,0.0,2.5399820804595947,TimesFM-3.0-PyTorch
MASS0025,7,0.16449594497680664,0.0,2.961716890335083,TimesFM-3.0-PyTorch
MASS0025,8,0.13400697708129883,0.0,3.3627758026123047,TimesFM-3.0-PyTorch
MASS0025,9,0.1069631576538086,0.0,3.672609567642212,TimesFM-3.0-PyTorch
