sku,demanda_semanal_prom,demanda_semanal_std,cv,n_semanas_historial,total_ventas,total_unidades,costo_unit_trans_prom,stock_actual,costo,cantidad_por_caja,CBMM,costo_final,clase_abc,clase_xyz,clase_abc_xyz,nivel_servicio,cbm_unitario,costo_flete_unitario,costo_puesto,demanda_anual,demanda_esperada_lt,rop,stock_seguridad,eoq_teorico,cajas_a_pedir,unidades_a_pedir,cbm_total_pedido,inversion_fob_usd,posicion_inventario,requiere_pedido,estado,porcentaje_contenedor
MASS2307,0.6408450704225352,2.8392925632126276,4.430544439298825,142,12567.99,91.0,68.60395833333334,33.0,25.0,1.0,0.1381875,25.0,AA,Z,AA-Z,0.95,0.1381875,11.745937499999998,36.7459375,33.32394366197183,9.612676056338028,27.70036293659496,18.087686880256932,24.588265858582023,0,0,0.0,0.0,33.0,False,OK,0.0
MASS2368,0.2605633802816901,2.21432978978748,8.498238652697896,142,585.81,37.0,5.572,72.0,4.55,10.0,0.0682375,4.55,C,Z,C-Z,0.75,0.006823750000000001,0.58001875,5.13001875,13.549295774647886,3.908450704225352,9.692916889297013,5.784466185071661,41.961717527088105,0,0,0.0,0.0,72.0,False,OK,0.0
MASS2126,3.2253521126760565,13.804303145618409,4.279936783139332,142,11061.52,458.0,10.062575757575758,345.0,11.5,1.0,0.0089304,11.5,AA,Z,AA-Z,0.95,0.0089304,0.759084,12.259084,167.71830985915494,48.38028169014085,136.32046655632195,87.9401848661811,95.50268873515189,0,0,0.0,0.0,345.0,False,OK,0.0
MASS0558,0.014084507042253521,0.16783627165933782,11.916375287812984,142,30.8,2.0,2.175,1.0,,1.0,0.05,2.175,C,Z,C-Z,0.75,0.05,4.25,6.425,0.7323943661971831,0.2112676056338028,0.6497042118337841,0.4384366061999813,8.717466797274048,0,0,0.0,0.0,1.0,False,OK,0.0
MASS2791,0.2112676056338028,1.448065405028735,6.8541762504693455,142,30.35,30.0,0.17894736842105266,42.0,0.13,432.0,0.051984,0.13,C,Z,C-Z,0.75,0.00012033333333333334,0.010228333333333334,0.14022833333333334,10.985915492957746,3.169014084507042,6.951777342171894,3.782763257664852,228.53599448645778,0,0,0.0,0.0,42.0,False,OK,0.0
MASS2692,0.007042253521126761,0.08391813582966891,11.916375287812984,142,30.0,1.0,13.53,2.0,,1.0,0.05,13.53,C,Z,C-Z,0.75,0.05,4.25,17.78,0.36619718309859156,0.1056338028169014,0.32485210591689206,0.21921830309999066,3.7054929539054924,0,0,0.0,0.0,2.0,False,OK,0.0
MASS2783,0.09859154929577464,0.8363196914524121,8.482671156160182,142,29.97,14.0,1.41,16.0,1.15,200.0,0.094116,1.15,C,Z,C-Z,0.75,0.00047058,0.0399993,1.1899993,5.126760563380281,1.4788732394366195,3.6635807737106076,2.184707534273988,53.59231716293626,0,0,0.0,0.0,16.0,False,OK,0.0
MASS3046,0.06338028169014084,0.3199022176045188,5.047346099982408,142,29.93,9.0,1.67,631.0,1.67,80.0,0.05,1.67,C,Z,C-Z,0.75,0.000625,0.053125,1.723125,3.295774647887324,0.9507042253521126,1.78638081191891,0.8356765865667973,35.70875701334294,0,0,0.0,0.0,631.0,False,OK,0.0
MASS2786,0.22535211267605634,1.60404792113371,7.1179626500308375,142,28.73,32.0,0.2,40.0,0.13,432.0,0.051984,0.13,C,Z,C-Z,0.75,0.00012033333333333334,0.010228333333333334,0.14022833333333334,11.71830985915493,3.380281690140845,7.570516135716789,4.190234445575944,236.03096017466697,0,0,0.0,0.0,40.0,False,OK,0.0
MASS2405,1.028169014084507,3.8737956938401674,3.767664304967834,142,2278.68,146.0,6.652676056338028,106.0,26.0,1.0,0.12544,26.0,A,Z,A-Z,0.9,0.12544,10.6624,36.6624,53.46478873239437,15.422535211267604,34.649840723317666,19.227305512050062,31.18012502559711,0,0,0.0,0.0,106.0,False,OK,0.0
MASS2789,0.21830985915492956,1.7181393415329806,7.870186661215589,142,27.25,31.0,0.18,41.0,0.13,432.0,0.051984,0.13,C,Z,C-Z,0.75,0.00012033333333333334,0.010228333333333334,0.14022833333333334,11.352112676056338,3.2746478873239435,7.762921932217981,4.4882740448940375,232.31370486573698,0,0,0.0,0.0,41.0,False,OK,0.0
MASS0607,4.591549295774648,8.752025037870386,1.9061158824809736,142,10263.64,652.0,9.023277777777778,206.0,9.5,96.0,0.0546,9.5,AA,Z,AA-Z,0.95,0.00056875,0.048343750000000005,9.54834375,238.7605633802817,68.87323943661971,124.62793358270281,55.7546941460831,129.1134973322365,0,0,0.0,0.0,206.0,False,OK,0.0
