Codigo Articulo,cuadrante,clase_abc,nivel_servicio,stock_actual,rop,demanda_esperada_lt,ss_empirico,mu_incondicional,mu_sba,adi,cv2,n_pos,n_semanas_historia,weeks_history,cajas_a_pedir,unidades_a_pedir,cbm_total_pedido,inversion_fob_usd,costo_final,cantidad_por_caja,CBMM,estado,requiere_pedido
MASS2518,sin_datos,C,0.85,0.0,1.3499999999999999,1.3499999999999999,0.0,,0.09,20.0,,1,20,19.428571428571427,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS2682,sin_datos,C,0.85,7.0,2.977941176470588,2.977941176470588,0.0,,0.19852941176470584,4.0,,1,4,3.2857142857142856,0,0,0.0,0.0,1.0,1.0,0.05,OK,False
MASS2681,sin_datos,C,0.85,7.0,2.977941176470588,2.977941176470588,0.0,,0.19852941176470584,4.0,,1,4,3.2857142857142856,0,0,0.0,0.0,1.0,1.0,0.05,OK,False
MASS1337,sin_datos,C,0.85,0.0,0.0,0.0,0.0,,0.0,inf,,0,137,136.57142857142858,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS2257,lumpy,C,0.85,0.0,0.2437499999999998,0.2437499999999998,0.0,,0.016249999999999987,3.636,0.6428,11,40,39.285714285714285,1,100,0.036,145.0,1.45,100.0,0.036,REORDENAR,True
MASS2255,intermittent,C,0.85,29.0,4.646591796875,4.646591796875,0.0,,0.30977278645833334,8.0,0.2474,5,40,39.285714285714285,0,0,0.0,0.0,2.25,50.0,0.028,OK,False
MASS2679,intermittent,C,0.85,19.0,0.0,0.0,0.0,,0.0,6.0,0.2222,2,12,11.285714285714286,0,0,0.0,0.0,1.0,1.0,0.05,OK,False
MASS0770,sin_datos,C,0.85,0.0,0.0,0.0,0.0,,0.0,inf,,0,140,139.28571428571428,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS2714,erratic,C,0.85,17.0,64.04084665476866,48.843749999999986,15.197096654768666,,3.256249999999999,1.0,0.7078,4,4,3.4285714285714284,1,350,0.068172,700.0,2.0,350.0,0.068172,REORDENAR,True
MASS2561,sin_datos,C,0.85,0.0,1.3499999999999999,1.3499999999999999,0.0,,0.09,20.0,,1,20,19.428571428571427,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS1705,sin_datos,C,0.85,0.0,0.0,0.0,0.0,,0.0,inf,,0,115,114.42857142857143,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS2560,sin_datos,C,0.85,0.0,1.3499999999999999,1.3499999999999999,0.0,,0.09,20.0,,1,20,19.428571428571427,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS1097,sin_datos,C,0.85,0.0,0.0,0.0,0.0,,0.0,inf,,0,128,127.28571428571429,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS2718,intermittent,C,0.85,0.0,88.40129999999999,88.40129999999999,0.0,,5.89342,1.333,0.0912,3,4,3.4285714285714284,1,350,0.068172,700.0,2.0,350.0,0.068172,REORDENAR,True
MASS0940,sin_datos,C,0.85,0.0,0.08653846153846154,0.08653846153846154,0.0,,0.0057692307692307696,52.0,,1,123,122.71428571428571,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS1957,lumpy,C,0.85,15.0,1.7307692307692308,1.7307692307692308,0.0,,0.11538461538461539,7.429,0.7117,7,71,70.28571428571429,0,0,0.0,0.0,1.08,50.0,0.00125,OK,False
MASS1116,sin_datos,C,0.85,0.0,0.0,0.0,0.0,,0.0,inf,,0,124,122.85714285714286,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS0056,sin_datos,C,0.85,0.0,0.0,0.0,0.0,,0.0,inf,,0,135,134.14285714285714,1,100,0.0175,70.0,0.7,100.0,0.0175,REORDENAR,True
MASS0462,lumpy,C,0.85,0.0,0.4197115384615384,0.4197115384615384,0.0,,0.027980769230769226,26.0,0.72,2,78,77.28571428571429,1,60,0.140562,58.8,0.98,60.0,0.140562,REORDENAR,True
MASS2569,sin_datos,C,0.85,0.0,1.3499999999999999,1.3499999999999999,0.0,,0.09,20.0,,1,20,19.428571428571427,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
